PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
66-2014*2,Ulmus 'Morton Glossy',Elm,TRIUMPH,g,"Beaver Creek Nursery, Inc.",,,,Visitor Center,raised entrance bed,M-45,09-61,
495-2004*6,Ulmus davidiana var. japonica 'Morton',Japanese Elm,ACCOLADE,g,"Beaver Creek Nursery, Inc.",,,,Ulmaceae,,X-49,12-14,
44-95*2,Ulmus bergmanniana,Bergmann's Elm,,w,The Morton Arboretum Research Program,China (PRC),?,"China (PRC), Yunnan, site not given",Ulmaceae,,X-52,80-93,
1053-28*1,Ulmus americana,American Elm,,g,The Morton Arboretum,,,,Ulmaceae,,W-52,55-75,
2351-24*1,Ulmus davidiana var. japonica × minor,Japanese-European Field Hybrid Elm,,g,Arnold Arboretum of Harvard University,,,,Godshalk Meadow,east side,N-37,90-45,
949-73*1,Ulmus glabra,Scots Elm,,g,Botanical Garden of the Komarov Botanical Institute,,,,Central & Western Asia,,EE-71,77-59,
44-95*3,Ulmus bergmanniana,Bergmann's Elm,,w,The Morton Arboretum Research Program,China (PRC),?,"China (PRC), Yunnan, site not given",Ulmaceae,,W-51,46-91,
400-2013*2,Ulmus pumila × rubra,Siberian-slippery Elm Hybrid,,g,The Morton Arboretum,,,,Ulmaceae,,Z-54,29-68,
362-2006*1,Ulmus microcarpa,Small-fruited Elm,,z,The Morton Arboretum Research Program,China (PRC),,"China (PRC), Tibet",Ulmaceae,,U-50,64-48,
198-2013*1,Ulmus thomasii,Rock Elm,,z,The Morton Arboretum,United States of America,?,"United States of America, Wisconsin, 10 Mi south of Reedsville",Ulmaceae,,U-54,80-991,
196-2011*1,Ulmus elongata,Long-seeded Elm,,g,The Morton Arboretum,,,,Ulmaceae,,X-52,85-41,
756-60*1,Ulmus procera,English Elm,,g,Arnold Arboretum of Harvard University,,,,Ulmaceae,,U-51,65-15,
